ppo, pdo, tpo, tdo
a soldier fed a pie to a parent .,a soldier fed a parent a pie .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
a student fed a candy to a singer .,a student fed a singer a candy .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
a minister promised a chicken to a husband .,a minister promised a husband a chicken .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
an attorney promised an anchor to a son .,an attorney promised a son an anchor .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
a writer brought a tea to a guy .,a writer brought a guy a tea .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
a student promised a tea to a partner .,a student promised a partner a tea .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
a leader gave a beer to a club .,a leader gave a club a beer .,the lady sold the hat to the cousin .,the lady sold the cousin the hat .
an opponent threw a bowl to a sheriff .,an opponent threw a sheriff a bowl .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
an opponent fed a chicken to a physician .,an opponent fed a physician a chicken .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
a manager took an instrument to a cousin .,a manager took a cousin an instrument .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
an actor sold a knife to a club .,an actor sold a club a knife .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
a leader sold a newspaper to a champion .,a leader sold a champion a newspaper .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
an author promised a juice to a secretary .,an author promised a secretary a juice .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
a minister fed a salad to an actor .,a minister fed an actor a salad .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
a lady promised a beer to a worker .,a lady promised a worker a beer .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
an actress took a guitar to a captain .,an actress took a captain a guitar .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
a singer sent a guitar to a manager .,a singer sent a manager a guitar .,the teacher brought the cigarette to the professor .,the teacher brought the professor the cigarette .
a teacher brought an instrument to an uncle .,a teacher brought an uncle an instrument .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a cousin took a machine to a partner .,a cousin took a partner a machine .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a daughter gave a jacket to a wife .,a daughter gave a wife a jacket .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
an actor brought a cheese to a scientist .,an actor brought a scientist a cheese .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a daughter gave a meal to a woman .,a daughter gave a woman a meal .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a lawyer gave a chicken to a partner .,a lawyer gave a partner a chicken .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a wife sent a plate to a scientist .,a wife sent a scientist a plate .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a scientist fed a candy to a minister .,a scientist fed a minister a candy .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a minister sent a juice to a corporation .,a minister sent a corporation a juice .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
a priest sold a chocolate to an army .,a priest sold an army a chocolate .,the hero threw the beer to the candidate .,the hero threw the candidate the beer .
the priest sold the pie to the club .,the priest sold the club the pie .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the pilot gave the juice to the parent .,the pilot gave the parent the juice .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the actress threw the candy to the mother .,the actress threw the mother the candy .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the girl sold the coffee to the boy .,the girl sold the boy the coffee .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the writer sold the chicken to the daughter .,the writer sold the daughter the chicken .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the daughter promised the cheese to the reader .,the daughter promised the reader the cheese .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the sheriff brought the juice to the administration .,the sheriff brought the administration the juice .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the actress fed the chicken to the attorney .,the actress fed the attorney the chicken .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the kid fed the chicken to the mother .,the kid fed the mother the chicken .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
the friend showed the chocolate to the business .,the friend showed the business the chocolate .,a winner took an anchor to a mayor .,a winner took a mayor an anchor .
a child got a coffee for a company .,a child got a company a coffee .,the guy saved the card for the king .,the guy saved the king the card .
a teacher found a tea for an actress .,a teacher found an actress a tea .,the guy saved the card for the king .,the guy saved the king the card .
an employee got a coffee for a company .,an employee got a company a coffee .,the guy saved the card for the king .,the guy saved the king the card .
a daughter purchased a meal for a corporation .,a daughter purchased a corporation a meal .,the guy saved the card for the king .,the guy saved the king the card .
a husband made a machine for an army .,a husband made an army a machine .,the guy saved the card for the king .,the guy saved the king the card .
a lady purchased a juice for a company .,a lady purchased a company a juice .,the guy saved the card for the king .,the guy saved the king the card .
a husband bought a tea for an actor .,a husband bought an actor a tea .,the guy saved the card for the king .,the guy saved the king the card .
an actress found an instrument for a club .,an actress found a club an instrument .,the guy saved the card for the king .,the guy saved the king the card .
a writer got a beer for a guest .,a writer got a guest a beer .,the guy saved the card for the king .,the guy saved the king the card .
a student bought a beer for a father .,a student bought a father a beer .,the guy saved the card for the king .,the guy saved the king the card .
the cousin found the chocolate for the worker .,the cousin found the worker the chocolate .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the hero got the wire for the business .,the hero got the business the wire .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the physician got the television for the business .,the physician got the business the television .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the priest made the coat for the business .,the priest made the business the coat .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the father got the machine for the administration .,the father got the administration the machine .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the nurse made the camera for the business .,the nurse made the business the camera .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the captain found the chicken for the administration .,the captain found the administration the chicken .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the uncle bought the tea for the mayor .,the uncle bought the mayor the tea .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the adult bought the bowl for the actor .,the adult bought the actor the bowl .,a prince purchased a beer for a club .,a prince purchased a club a beer .
the parent found the candy for the bishop .,the parent found the bishop the candy .,a prince purchased a beer for a club .,a prince purchased a club a beer .
a parent sent a meal to a writer .,a parent sent a writer a meal .,the minister threw the pie to the girl .,the minister threw the girl the pie .
an actor gave a candy to a writer .,an actor gave a writer a candy .,the minister threw the pie to the girl .,the minister threw the girl the pie .
an employer gave a meal to a company .,an employer gave a company a meal .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a cop sold a coffee to a singer .,a cop sold a singer a coffee .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a buddy took a box to a princess .,a buddy took a princess a box .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a teacher promised a salad to a mayor .,a teacher promised a mayor a salad .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a president took a camera to a son .,a president took a son a camera .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a winner showed a salad to a cop .,a winner showed a cop a salad .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a kid gave an anchor to an adult .,a kid gave an adult an anchor .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a hero took a bell to a guest .,a hero took a guest a bell .,the minister threw the pie to the girl .,the minister threw the girl the pie .
a husband made a button for a company .,a husband made a company a button .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a girl got a salad for an attorney .,a girl got an attorney a salad .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a mayor bought a bottle for an actor .,a mayor bought an actor a bottle .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a bishop made a television for a company .,a bishop made a company a television .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a captain got a chocolate for a band .,a captain got a band a chocolate .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a boy bought a candy for a parent .,a boy bought a parent a candy .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a student found a flower for a corporation .,a student found a corporation a flower .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a colonel left a juice for an administration .,a colonel left an administration a juice .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a son purchased a television for a band .,a son purchased a band a television .,the worker saved the tea for the physician .,the worker saved the physician the tea .
a guest made an anchor for an army .,a guest made an army an anchor .,the worker saved the tea for the physician .,the worker saved the physician the tea .
an opponent purchased a gun for a band .,an opponent purchased a band a gun .,the nurse got the candy for the administration .,the nurse got the administration the candy .
a physician found a coffee for a business .,a physician found a business a coffee .,the nurse got the candy for the administration .,the nurse got the administration the candy .
a husband made a jacket for a company .,a husband made a company a jacket .,the nurse got the candy for the administration .,the nurse got the administration the candy .
an actor found a coffee for an army .,an actor found an army a coffee .,the nurse got the candy for the administration .,the nurse got the administration the candy .
a reader found an anchor for a band .,a reader found a band an anchor .,the nurse got the candy for the administration .,the nurse got the administration the candy .
a girl bought a bag for a princess .,a girl bought a princess a bag .,the nurse got the candy for the administration .,the nurse got the administration the candy .
a winner made a bowl for a bishop .,a winner made a bishop a bowl .,the nurse got the candy for the administration .,the nurse got the administration the candy .
an employer made a motor for an army .,an employer made an army a motor .,the nurse got the candy for the administration .,the nurse got the administration the candy .
a husband bought a ball for a king .,a husband bought a king a ball .,the nurse got the candy for the administration .,the nurse got the administration the candy .
a captain found a hat for an employer .,a captain found an employer a hat .,the nurse got the candy for the administration .,the nurse got the administration the candy .
the nurse brought the flower to the army .,the nurse brought the army the flower .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the husband showed the beer to the prince .,the husband showed the prince the beer .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the daughter sold the glass to the company .,the daughter sold the company the glass .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the scientist promised the beer to the manager .,the scientist promised the manager the beer .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the brother gave the salad to the son .,the brother gave the son the salad .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the leader brought the beer to the priest .,the leader brought the priest the beer .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the adult promised the candy to the girl .,the adult promised the girl the candy .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the doctor took the jacket to the bishop .,the doctor took the bishop the jacket .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the boy took the ball to the girl .,the boy took the girl the ball .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the employee threw the juice to the secretary .,the employee threw the secretary the juice .,a hero fed a cheese to a writer .,a hero fed a writer a cheese .
the actor bought the beer for the hero .,the actor bought the hero the beer .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the parent left the guitar for the physician .,the parent left the physician the guitar .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the husband got the bell for the friend .,the husband got the friend the bell .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the physician made the gun for the band .,the physician made the band the gun .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the singer got the juice for the teacher .,the singer got the teacher the juice .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the cousin left the beer for the army .,the cousin left the army the beer .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the champion left the book for the company .,the champion left the company the book .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the buddy found the chicken for the soldier .,the buddy found the soldier the chicken .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the reader got the gun for the son .,the reader got the son the gun .,a princess saved an engine for an employer .,a princess saved an employer an engine .
the cousin found the coffee for the mother .,the cousin found the mother the coffee .,a princess saved an engine for an employer .,a princess saved an employer an engine .
a president took a cigarette to a cousin .,a president took a cousin a cigarette .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a prince sent a juice to a parent .,a prince sent a parent a juice .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a leader promised an anchor to a hero .,a leader promised a hero an anchor .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a guest brought an engine to a prince .,a guest brought a prince an engine .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a daughter sold a machine to a business .,a daughter sold a business a machine .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a boy fed a candy to a minister .,a boy fed a minister a candy .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a princess fed a meal to a champion .,a princess fed a champion a meal .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a father gave a meal to a corporation .,a father gave a corporation a meal .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
an aunt took a telephone to a boy .,an aunt took a boy a telephone .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
a president sent a guitar to an administration .,a president sent an administration a guitar .,the lawyer threw the pie to the employer .,the lawyer threw the employer the pie .
the mother took the engine to the daughter .,the mother took the daughter the engine .,a cousin showed a book to a business .,a cousin showed a business a book .
the prince sent the juice to the band .,the prince sent the band the juice .,a cousin showed a book to a business .,a cousin showed a business a book .
the worker took the bag to the employee .,the worker took the employee the bag .,a cousin showed a book to a business .,a cousin showed a business a book .
the president promised the tea to the candidate .,the president promised the candidate the tea .,a cousin showed a book to a business .,a cousin showed a business a book .
the princess sent the candy to the band .,the princess sent the band the candy .,a cousin showed a book to a business .,a cousin showed a business a book .
the king gave the chocolate to the club .,the king gave the club the chocolate .,a cousin showed a book to a business .,a cousin showed a business a book .
the guy promised the knife to the minister .,the guy promised the minister the knife .,a cousin showed a book to a business .,a cousin showed a business a book .
the father brought the flower to the administration .,the father brought the administration the flower .,a cousin showed a book to a business .,a cousin showed a business a book .
the secretary took the plate to the employee .,the secretary took the employee the plate .,a cousin showed a book to a business .,a cousin showed a business a book .
the son sold the bag to the band .,the son sold the band the bag .,a cousin showed a book to a business .,a cousin showed a business a book .
a wife took a glass to an uncle .,a wife took an uncle a glass .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a priest sent a coffee to an army .,a priest sent an army a coffee .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a cop brought a newspaper to a colonel .,a cop brought a colonel a newspaper .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a minister took a computer to a father .,a minister took a father a computer .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
an uncle promised a salad to a priest .,an uncle promised a priest a salad .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a writer sent a salad to a scientist .,a writer sent a scientist a salad .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a friend threw a cup to a soldier .,a friend threw a soldier a cup .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a soldier showed a tea to a business .,a soldier showed a business a tea .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a mother gave a log to a company .,a mother gave a company a log .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
a soldier brought an iron to a corporation .,a soldier brought a corporation an iron .,the winner fed the chocolate to the king .,the winner fed the king the chocolate .
the author made the wire for the partner .,the author made the partner the wire .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the adult purchased the coffee for the mayor .,the adult purchased the mayor the coffee .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the teacher bought the juice for the chief .,the teacher bought the chief the juice .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the winner found the machine for the band .,the winner found the band the machine .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the child saved the chicken for the business .,the child saved the business the chicken .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the student purchased the card for the corporation .,the student purchased the corporation the card .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the actor purchased the beer for the singer .,the actor purchased the singer the beer .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the scientist saved the candy for the employer .,the scientist saved the employer the candy .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the adult saved the juice for the partner .,the adult saved the partner the juice .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
the parent made the knife for the band .,the parent made the band the knife .,an opponent left a ball for a cousin .,an opponent left a cousin a ball .
a child bought a juice for a secretary .,a child bought a secretary a juice .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a winner found a bell for a doctor .,a winner found a doctor a bell .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a doctor got a chicken for a boy .,a doctor got a boy a chicken .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a mother bought a camera for a woman .,a mother bought a woman a camera .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a worker made a crystal for an adult .,a worker made an adult a crystal .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a champion purchased a bell for a hero .,a champion purchased a hero a bell .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a mother found a coffee for a boy .,a mother found a boy a coffee .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a sheriff purchased a coffee for a teacher .,a sheriff purchased a teacher a coffee .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
an opponent bought a tea for a soldier .,an opponent bought a soldier a tea .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
a pilot left a coffee for an army .,a pilot left an army a coffee .,the leader saved the chocolate for the company .,the leader saved the company the chocolate .
the uncle made the log for the kid .,the uncle made the kid the log .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the nurse left the television for the singer .,the nurse left the singer the television .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the secretary bought the plate for the daughter .,the secretary bought the daughter the plate .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the partner got the tea for the mother .,the partner got the mother the tea .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the prince bought the flower for the cousin .,the prince bought the cousin the flower .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the man saved the motor for the employer .,the man saved the employer the motor .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the president saved the bowl for the army .,the president saved the army the bowl .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the employer left the engine for the club .,the employer left the club the engine .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the winner found the pie for the club .,the winner found the club the pie .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the king found the salad for the candidate .,the king found the candidate the salad .,a professor purchased a crystal for a company .,a professor purchased a company a crystal .
the professor sold the plate to the winner .,the professor sold the winner the plate .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the writer promised the cheese to the teacher .,the writer promised the teacher the cheese .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the president took the bell to the adult .,the president took the adult the bell .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the professor sold the coffee to the band .,the professor sold the band the coffee .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the captain brought the cigarette to the club .,the captain brought the club the cigarette .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the priest gave the coffee to the leader .,the priest gave the leader the coffee .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the author threw the coffee to the hero .,the author threw the hero the coffee .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the actor threw the television to the winner .,the actor threw the winner the television .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the parent promised the salad to the woman .,the parent promised the woman the salad .,a boy fed a meal to a cop .,a boy fed a cop a meal .
the guest threw the cheese to the physician .,the guest threw the physician the cheese .,a boy fed a meal to a cop .,a boy fed a cop a meal .
a candidate saved a salad for a band .,a candidate saved a band a salad .,the writer got the juice for the bishop .,the writer got the bishop the juice .
an employer left a television for an army .,an employer left an army a television .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a prince bought a chicken for an aunt .,a prince bought an aunt a chicken .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a pilot saved a cheese for an adult .,a pilot saved an adult a cheese .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a friend purchased a guitar for a doctor .,a friend purchased a doctor a guitar .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a chief found a salad for a teacher .,a chief found a teacher a salad .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a colonel bought a plate for a doctor .,a colonel bought a doctor a plate .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a president saved a cheese for an army .,a president saved an army a cheese .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a boy found a beer for a prince .,a boy found a prince a beer .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a candidate left a meal for a mayor .,a candidate left a mayor a meal .,the writer got the juice for the bishop .,the writer got the bishop the juice .
a kid saved a juice for a mother .,a kid saved a mother a juice .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a man saved a meal for a physician .,a man saved a physician a meal .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a cousin got a salad for an actor .,a cousin got an actor a salad .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a secretary got a juice for a girl .,a secretary got a girl a juice .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a man got a machine for an administration .,a man got an administration a machine .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a lawyer got a chocolate for an adult .,a lawyer got an adult a chocolate .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a manager left a beer for a minister .,a manager left a minister a beer .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a boy left a beer for an army .,a boy left an army a beer .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
an author got a candy for an administration .,an author got an administration a candy .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a guy got a pie for a pilot .,a guy got a pilot a pie .,the candidate made the cigarette for the company .,the candidate made the company the cigarette .
a lawyer made a pot for an adult .,a lawyer made an adult a pot .,the sheriff saved the juice for the chief .,the sheriff saved the chief the juice .
